Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
07/11/2025,CHRY,VN,TNC,GRN,,,701 N. Sacramento,(773) 265-7605,7127827
07/06/2025,FORD,VN,,WHI,478070D,IL,10300 S. Doty,(773) 568-8495,2989889
07/01/2025,KIA,4D,SOL,SIL,NONE,IL,10300 S. Doty,(773) 568-8495,2989665
05/18/2025,TOYT,4D,PRI,TAN,ET85797,IL,10300 S. Doty,(773) 568-8495,2987836
07/09/2025,DODG,LL,,RED,A587396,IL,10300 S. Doty,(773) 568-8495,2990017
04/18/2025,LEXS,LL,,BGE,EB98152,IL,701 N. Sacramento,(773) 265-7605,7120772
07/06/2025,HOND,2D,,RED,EY94684,IL,701 N. Sacramento,(773) 265-7605,7127556
06/30/2025,VOLK,4D,,SIL,BX68993,IL,10300 S. Doty,(773) 568-8495,515003
07/03/2025,HOND,4D,ACC,GRN,CN43389,IL,10300 S. Doty,(773) 568-8495,2989732
06/05/2025,BMW,4D,,GRY,0000,IL,701 N. Sacramento,(773) 265-1846,1549350
06/30/2025,MERZ,4D,,GRY,EB17329,IL,10300 S. Doty,(773) 568-8495,2989619
07/09/2025,NISS,LL,,GRY,FF91991,IL,701 N. Sacramento,(773) 265-7605,7127690
05/21/2025,INFI,4D,,GLD,EV43375,IL,701 N. Sacramento,(773) 265-7605,7123419
06/16/2025,PONT,4D,,BLK,DJ99908,IL,400 E. Lower Wacker,(312) 744-7550,0345164
05/03/2025,MITS,4D,,SIL,CU18395,IL,10300 S. Doty,(773) 568-8495,2987216
05/18/2025,MERZ,4D,32A,SIL,FG44631,IL,10300 S. Doty,(773) 568-8495,2987838
06/08/2025,CHEV,PK,,WHI,EV14587,IL,10300 S. Doty,(773) 568-8495,2988709
05/18/2025,TOYT,VN,SNA,SIL,EV19580,IL,10300 S. Doty,(773) 568-8495,2987837
06/11/2025,MITS,LL,,GRY,EZ95103,IL,400 E. Lower Wacker,(312) 744-7550,0344788
07/09/2025,CADI,4D,,BLK,FJ51054,IL,701 N. Sacramento,(773) 265-7605,7127689
06/12/2025,CHEV,4D,,BLU,JOSIAH1,IN,10300 S. Doty,(773) 568-8495,2988899
05/03/2025,HYUN,LL,,GRY,DV96926,IL,10300 S. Doty,(773) 568-8495,2987215
07/06/2025,CHEV,4D,,BLU,EY92496,IL,701 N. Sacramento,(773) 265-7605,7127557
07/06/2025,CHEV,LL,,WHI,FD14792,IL,10300 S. Doty,(773) 568-8495,2989885
05/29/2025,FORD,4D,,BLK,NONE,IL,10300 S. Doty,(773) 568-8495,2988292
05/14/2025,HOND,VN,ODY,SIL,DS71875,IL,701 N. Sacramento,(773) 265-1846,1549197
06/12/2025,TOYT,4D,,GRY,EG27431,IL,701 N. Sacramento,(773) 265-7605,7125237
06/25/2025,PORS,2D,BOX,BLU,DX75675,IL,10300 S. Doty,(773) 568-8495,2989373
04/24/2025,BUIC,4D,,SIL,ET86875,IL,701 N. Sacramento,(773) 265-7605,7121243
07/09/2025,JEEP,LL,,SIL,AXE3619,IL,10300 S. Doty,(773) 568-8495,2990018
06/08/2025,CHEV,4D,,BLK,ECZ72,MI,400 E. Lower Wacker,(312) 744-7550,0344613
05/14/2025,APRI,MC,,BLK,D59116,IL,701 N. Sacramento,(773) 265-1846,1549196
05/29/2025,TOYT,4D,PRI,LGR,CQ61253,IL,701 N. Sacramento,(773) 265-7605,7124114
06/08/2025,CHEV,4D,IMP,TAN,NONE,IL,701 N. Sacramento,(773) 265-7605,7125028
07/09/2025,FORD,LL,,BLK,BT81946,IL,10300 S. Doty,(773) 568-8495,2990016
06/11/2025,FORD,PK,,WHI,3754900B,IL,701 N. Sacramento,(773) 265-7605,7125131
06/27/2025,JEEP,LL,CHK,GRY,ES34665,IL,10300 S. Doty,(773) 785-9752,1728316
06/19/2025,HOND,4D,ACC,BLK,CR96857,IL,701 N. Sacramento,(773) 265-7605,7125813
07/09/2025,MASE,LL,,BLK,EY55725,IL,701 N. Sacramento,(773) 265-7605,7127691
06/24/2025,HYUN,4D,ELN,BLK,EH78787,IL,10300 S. Doty,(773) 568-8495,2989348
06/11/2025,MERC,4D,,BLU,,,701 N. Sacramento,(773) 265-7605,7125132
06/11/2025,TOYT,2D,,WHI,FA33640,IL,701 N. Sacramento,(773) 265-7605,7125133
05/01/2025,CHEV,4D,,GRY,07WJP6,MO,701 N. Sacramento,(773) 265-7605,7121877
06/11/2025,TOYT,LL,,GRN,,,10300 S. Doty,(773) 568-8495,2988790
05/25/2025,ROV,LL,,WHI,,,701 N. Sacramento,(773) 265-7605,7123905
06/08/2025,FORD,LL,ECP,RED,FB83490,IL,10300 S. Doty,(773) 568-8495,2988712
06/30/2025,FORD,VN,,WHI,3641618B,IL,10300 S. Doty,(773) 568-8495,2989620
07/06/2025,TOYT,4D,,WHI,TMF0723,TX,10300 S. Doty,(773) 568-8495,2989888
05/23/2025,HOND,4D,,GRY,K640037,IL,400 E. Lower Wacker,(312) 744-7550,0343472
05/12/2025,CHEV,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2987581
05/12/2025,SUBA,SW,,BLK,BB59715,IL,701 N. Sacramento,(773) 265-7605,7122859
04/26/2025,DODG,2D,CHL,BLK,AHA7046,WI,701 N. Sacramento,(773) 265-7605,7121533
06/30/2025,CHRY,4D,,RED,012365A4,IL,701 N. Sacramento,(773) 265-7605,7127110
06/11/2025,MAZD,LL,,BLK,RKSL87,FL,400 E. Lower Wacker,(312) 744-7550,0344790
05/14/2025,HYUN,4D,SON,BLK,AYZ2793,WI,701 N. Sacramento,(773) 265-7605,7122925
06/12/2025,TOYT,4D,,SIL,BT81394,IL,701 N. Sacramento,(773) 265-7605,7125234
04/16/2025,GMC,LL,,GRY,EA23273,IL,701 N. Sacramento,(773) 265-7605,7120564
05/21/2025,HYUN,LL,,BLK,DU87979,IL,10300 S. Doty,(773) 568-8495,2987954
05/03/2025,JEEP,LL,,GRY,FB73000,IL,10300 S. Doty,(773) 568-8495,2987218
06/12/2025,HYUN,4D,,RED,Q958728,IL,701 N. Sacramento,(773) 265-7605,7125235
06/12/2025,GMC,LL,,WHI,RRB393,MN,701 N. Sacramento,(773) 265-7605,7125236
06/10/2025,BUIC,4D,,WHI,,,701 N. Sacramento,(773) 265-7605,514774
06/11/2025,SUBA,4D,,GRN,ED2029,IL,10300 S. Doty,(773) 568-8495,2988793
06/30/2025,CHEV,4D,,BLK,ET81289,IL,10300 S. Doty,(773) 785-9752,1728319
05/14/2025,KIA,LL,SOL,GRN,DOA8XL,AZ,10300 S. Doty,(773) 568-8495,2987654
06/30/2025,CHRY,4D,,BLK,,,10300 S. Doty,(773) 568-8495,2989621
07/06/2025,JEEP,LL,,GRY,,,10300 S. Doty,(773) 568-8495,2989887
07/01/2025,VOLK,4D,,WHI,BC43665,IL,400 E. Lower Wacker,(312) 744-7550,0346167
06/05/2025,MERC,4D,,SIL,314AC358,IL,701 N. Sacramento,(773) 265-1846,1549351
06/19/2025,MAZD,LL,CX5,WHI,YBHOTSM,IA,701 N. Sacramento,(773) 265-7605,7125812
07/09/2025,CHEV,LL,,MAR,EA85710,IL,701 N. Sacramento,(773) 265-7605,7127693
05/21/2025,TOYT,LL,,BLK,P905704,IL,701 N. Sacramento,(773) 265-7605,7123421
07/09/2025,CHEV,4D,,BLK,0,IL,701 N. Sacramento,(773) 265-7605,7127692
07/06/2025,MAZD,4D,,BLK,DT58153,IL,10300 S. Doty,(773) 568-8495,2989862
06/29/2025,NISS,4D,,BLK,AU28352,CT,701 N. Sacramento,(773) 265-7605,7126986
06/25/2025,GMC,VN,SAV,BLU,BZ12121,IL,701 N. Sacramento,(773) 265-1846,1549439
05/12/2025,FORD,4D,FUS,BLU,BK54736,IL,400 E. Lower Wacker,(312) 744-7550,0342558
05/05/2025,HYUN,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7122234
05/23/2025,INFI,LL,,GRY,NONE,IL,701 N. Sacramento,(773) 265-7605,7123626
06/05/2025,SATR,4D,,BLU,0000,IL,10300 S. Doty,(773) 568-8495,2988608
05/05/2025,DODG,VN,,MAR,,IL,10300 S. Doty,(773) 568-8495,2987319
04/27/2025,NISS,4T,,GRY,CC46513,IL,701 N. Sacramento,(773) 265-7605,7121553
07/06/2025,ACUR,4D,,SIL,,,10300 S. Doty,(773) 568-8495,2989861
05/25/2025,FORD,VN,TRN,WHI,270RPF,IN,10300 S. Doty,(773) 568-8495,2988123
05/29/2025,NISS,4D,,GRY,EK78296,IL,10300 S. Doty,(773) 785-9752,1728177
07/06/2025,TOYT,4D,PRI,BLK,G217826,IL,701 N. Sacramento,(773) 265-7605,7127564
06/29/2025,HOND,4D,,SIL,EH72461,IL,701 N. Sacramento,(773) 265-7605,7126791
07/11/2025,TOYT,LL,HGH,WHI,6820526,IL,701 N. Sacramento,(773) 265-7605,7127795
07/06/2025,TOYT,4D,YAR,WHI,CN87705,IL,701 N. Sacramento,(773) 265-7605,7127563
